trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.3, 'e': 1}",25,0,-82.74524353494887,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.3, 'e': 1}",20,0,-151.2471251615448,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
93,False,"{'a': 0.3, 'e': 1}",20,0,-122.44590856644334,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
94,False,"{'a': 0.3, 'e': 1}",30,0,-152.98594871569307,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
95,False,"{'a': 0.3, 'e': 1}",20,0,-74.47899998260887,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
96,False,"{'a': 0.3, 'e': 1}",25,0,-86.7699047418521,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
97,False,"{'a': 0.3, 'e': 1}",20,0,-52.86783819262582,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
98,False,"{'a': 0.3, 'e': 1}",20,6,-24.513081143452226,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 1}",20,0,-3.4504508072550735,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.3, 'e': 1}",20,1,-68.5031796621318,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 0}",1
101,False,"{'a': 0.3, 'e': 1}",35,0,-81.60512154401322,"{0: 23, 1: 4, 2: 7, 3: 1, 4: 0}",0
102,False,"{'a': 0.3, 'e': 1}",20,0,-148.45670525140184,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
103,False,"{'a': 0.3, 'e': 1}",30,0,-181.0036932692323,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
104,False,"{'a': 0.3, 'e': 1}",20,0,-197.4570428910807,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
105,False,"{'a': 0.3, 'e': 1}",35,15,-39.17648586622661,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.3, 'e': 1}",20,0,-33.99115474934252,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
107,False,"{'a': 0.3, 'e': 1}",20,0,-20.37273472036464,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.3, 'e': 1}",30,0,-110.21291251016306,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.3, 'e': 1}",25,0,-79.56378241599623,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.3, 'e': 1}",25,0,-102.51263688485093,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.3, 'e': 1}",20,0,-73.90016740301651,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
112,False,"{'a': 0.3, 'e': 1}",25,0,-142.40198779228723,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
113,False,"{'a': 0.3, 'e': 1}",20,0,-265.9868021271924,"{0: 7, 1: 1, 2: 5, 3: 3, 4: 4}",0
114,False,"{'a': 0.3, 'e': 1}",25,0,-109.8234097184675,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
115,False,"{'a': 0.3, 'e': 1}",25,0,-126.6684566696151,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
116,False,"{'a': 0.3, 'e': 1}",30,12,-106.19178234726351,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
117,False,"{'a': 0.3, 'e': 1}",20,0,-70.38110651130908,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
118,False,"{'a': 0.3, 'e': 1}",20,0,-57.57907998624532,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
119,False,"{'a': 0.3, 'e': 1}",35,0,-163.44314902837667,"{0: 19, 1: 7, 2: 7, 3: 0, 4: 2}",0
120,False,"{'a': 0.3, 'e': 1}",20,0,-240.23837402396768,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 5}",0
121,False,"{'a': 0.3, 'e': 1}",20,0,-45.390303316131714,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.3, 'e': 1}",30,0,-118.5702453438986,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
123,False,"{'a': 0.3, 'e': 1}",25,0,-81.7511247040092,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
124,False,"{'a': 0.3, 'e': 1}",20,0,-132.0951379105778,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
125,False,"{'a': 0.3, 'e': 1}",20,0,-138.55444779395964,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.3, 'e': 1}",30,0,-243.74378720255208,"{0: 14, 1: 0, 2: 12, 3: 1, 4: 3}",0
127,False,"{'a': 0.3, 'e': 1}",25,0,-111.60640255150315,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
128,False,"{'a': 0.3, 'e': 1}",25,0,-120.26585216679615,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
129,False,"{'a': 0.3, 'e': 1}",20,0,-62.03880959962949,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
130,False,"{'a': 0.3, 'e': 1}",25,0,-178.37850062700983,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
131,False,"{'a': 0.3, 'e': 1}",35,0,-288.72435625887846,"{0: 17, 1: 4, 2: 7, 3: 3, 4: 4}",0
132,False,"{'a': 0.3, 'e': 1}",25,0,-192.71797660177106,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
133,False,"{'a': 0.3, 'e': 1}",25,0,-88.15637719199437,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
134,False,"{'a': 0.3, 'e': 1}",30,0,-87.84658108224225,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
135,False,"{'a': 0.3, 'e': 1}",20,0,-104.87317820205715,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.3, 'e': 1}",25,0,-193.41803278324923,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
137,False,"{'a': 0.3, 'e': 1}",20,3,-33.144753125438896,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.3, 'e': 1}",30,0,-151.12983115038693,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
139,False,"{'a': 0.3, 'e': 1}",20,0,-157.0214244423423,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
140,False,"{'a': 0.3, 'e': 1}",20,0,-132.1625851126973,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
141,False,"{'a': 0.3, 'e': 1}",20,0,-5.920144910728739,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.3, 'e': 1}",30,0,-262.19491156458736,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 6}",0
143,False,"{'a': 0.3, 'e': 1}",25,0,-80.52075811835152,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
144,False,"{'a': 0.3, 'e': 1}",25,0,-131.87482341712854,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
145,False,"{'a': 0.3, 'e': 1}",30,0,-114.9061457452767,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.3, 'e': 1}",25,0,-74.99362904240762,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
147,False,"{'a': 0.3, 'e': 1}",35,0,-173.42474375744,"{0: 23, 1: 1, 2: 6, 3: 3, 4: 2}",0
